Frequency,Comment
464.812,University of the sciences (sounds like paging)
464.362,sounds like paging
451.962,digital
462.025,paging and voice
462.05,paging and voice
455.212,faint buzzing sound then WCAUIF TV broadcast audio
463.862,philly art museum (data)
463.987,data
158.1,modem (confident)
152.18,paging (confident)
463.3,CW
463.6,data
160.35,voice (police?)
507.262,
452.137,University of the sciences (sounds like paging)
452.175,sounds like paging
452.512,CTX rail voice
452.675,
452,University of the sciences (sounds like paging)
440.65,data
502.212,chopper sound very interesting audio then CW. WIK576.
506.9875,data
501.95,Homan (interesting)
461.475,modem
161.1,
441.7,W3WAN repeater
460.425,
144.39,data (APRS)
448.425,data
480,unknown tone (consistent)
