Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,TAC/BLV,463.300000,+,5.000000,TSQL,186.2,186.2,023,NN,NFM,5.00,,,,,,
1,BRIDSBU,463.725000,+,5.000000,TSQL,167.9,167.9,023,NN,NFM,5.00,,,,,,
2,WISSINO,461.450000,+,5.000000,TSQL,203.5,203.5,023,NN,FM,5.00,,,,,,
3,WFRANKF,452.850000,+,5.000000,TSQL,71.9,71.9,023,NN,NFM,5.00,,,,,,
4,TOWNWAT,461.475000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
5,TOWNWAT,461.975000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,TOWNWAT,463.725000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,TOWNWAT,464.850000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,PPD EXP,154.570000,,0.000000,TSQL,67.0,67.0,023,NN,FM,5.00,,,,,,
16,SANIT/H,453.775000,+,5.000000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
17,PUBLIC,453.725000,+,5.000000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
18,STREETS,453.925000,+,5.000000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
19,SEWAGE,158.775000,,0.000000,TSQL,203.5,203.5,023,NN,FM,5.00,,,,,,
20,PHA POL,508.212500,+,3.000000,TSQL,141.3,141.3,023,NN,FM,5.00,,,,,,
21,PPA PAR,500.387500,+,3.000000,TSQL,79.7,79.7,023,NN,FM,5.00,,,,,,
22,PPA INS,508.387500,+,3.000000,TSQL,79.7,79.7,023,NN,FM,5.00,,,,,,
23,PPA TOW,502.837500,+,3.000000,TSQL,79.7,79.7,023,NN,FM,5.00,,,,,,
24,PRISONS,453.250000,+,5.000000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
25,PRISONS,453.400000,+,5.000000,TSQL,103.5,103.5,023,NN,FM,5.00,,,,,,
26,PRISONS,460.150000,+,5.000000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
32,FAM CRT,158.775000,-,4.900000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
33,LIBRARY,453.350000,+,5.000000,TSQL,136.5,136.5,023,NN,FM,5.00,,,,,,
43,SEPTA M,502.787500,+,3.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
44,SEPTA B,502.762500,+,3.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
45,SEPTA P,502.687500,+,3.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
46,1234 MA,464.425000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,SEPTA M,504.137500,,0.000000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
48,SEPTA M,502.737500,+,3.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
49,W3QV,147.030000,+,0.600000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
50,WM3PEN,146.685000,-,0.600000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
51,W3PVI/R,145.270000,-,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,,,,,
52,W3QV/R,444.800000,+,5.000000,TSQL,186.2,186.2,023,NN,FM,5.00,,,,,,
53,WB0CPR/,449.775000,-,5.000000,TSQL,141.3,141.3,023,NN,FM,5.00,,,,,,
54,W3WAN/R,441.700000,+,5.000000,TSQL,74.4,74.4,023,NN,FM,5.00,,,,,,
55,W3SBE/R,442.550000,+,5.000000,TSQL,91.5,91.5,023,NN,FM,5.00,,,,,,
59,UPENN P,506.987500,+,3.000000,TSQL,203.5,203.5,023,NN,NFM,5.00,,,,,,
60,UPENN P,508.912500,+,3.000000,TSQL,203.5,203.5,023,NN,NFM,5.00,,,,,,
61,UPENN S,461.475000,+,5.000000,DTCS,88.5,88.5,143,NN,NFM,5.00,,,,,,
62,UPENN P,507.262500,+,3.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
63,UPENN M,462.000000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
64,UPENN M,464.362500,+,5.000000,DTCS,88.5,88.5,143,NN,NFM,5.00,,,,,,
65,U.C.D.,451.887500,+,5.000000,DTCS,88.5,88.5,723,NN,NFM,5.00,,,,,,
69,TEMPLE,464.700000,+,5.000000,DTCS,88.5,88.5,506,NN,NFM,5.00,,,,,,
72,ST. JOE,463.300000,+,5.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
73,ST. JOE,463.625000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
74,ST. JOE,467.925000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
75,ST. JOE,468.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
76,PHILAU,461.637500,+,5.000000,DTCS,88.5,88.5,306,NN,NFM,5.00,,,,,,
81,FOODSVC,457.800000,,0.000000,DTCS,88.5,88.5,506,NN,NFM,5.00,,,,,,
94,SCOREBO,151.895000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,SPORTSN,466.712500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,BEER CO,456.900000,,0.000000,DTCS,88.5,88.5,506,NN,FM,5.00,,,,,,
98,COMMAND,452.012500,+,5.000000,DTCS,88.5,88.5,311,NN,FM,5.00,,,,,,
99,HOUSEKE,461.125000,+,5.000000,DTCS,88.5,88.5,172,NN,FM,5.00,,,,,,
100,EVENT S,461.800000,+,5.000000,DTCS,88.5,88.5,654,NN,FM,5.00,,,,,,
101,VIP PAR,464.025000,,0.000000,DTCS,88.5,88.5,065,NN,FM,5.00,,,,,,
102,CHEERLE,469.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
103,PREMIUM,461.750000,+,5.000000,DTCS,88.5,88.5,351,NN,FM,5.00,,,,,,
104,MEDICAL,464.725000,+,5.000000,TSQL,229.1,229.1,023,NN,FM,5.00,,,,,,
105,AUDIO/V,468.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
106,SCOREBO,461.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
107,SWOOP,466.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
108,PUBLIC,452.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
109,CORP SA,457.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
110,RETAIL,463.400000,+,5.000000,DTCS,88.5,88.5,351,NN,FM,5.00,,,,,,
111,SPORTS,463.600000,+,5.000000,DTCS,88.5,88.5,071,NN,FM,5.00,,,,,,
112,REST AS,463.350000,+,5.000000,DTCS,88.5,88.5,432,NN,FM,5.00,,,,,,
113,TRAINER,466.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
114,FOOD SE,461.200000,+,5.000000,TSQL,146.2,146.2,023,NN,FM,5.00,,,,,,
115,SECURIT,461.237500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
116,SECURIT,461.387500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
117,SECURIT,464.087500,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
118,SECURIT,461.137500,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
119,THE LIN,463.837500,+,5.000000,DTCS,88.5,88.5,332,NN,FM,5.00,,,,,,
120,SECURIT,464.750000,+,5.000000,TSQL,233.6,233.6,023,NN,FM,5.00,,,,,,
